State,District,Source District,US President 2024 - DEM,US President 2024 - REP,US President 2024 - Other,US President 2020 - DEM,US President 2020 - REP,US President 2020 - Other,US President 2016 - DEM,US President 2016 - REP,US President 2016 - Other,US Senate 2024 - DEM,US Senate 2024 - REP,US Senate 2024 - Other,US Senate 2020 - DEM,US Senate 2020 - REP,US Senate 2020 - Other,US Senate 2018 - DEM,US Senate 2018 - REP,US Senate 2018 - Other,US Senate 2016 - DEM,US Senate 2016 - REP,US Senate 2016 - Other,American Indian or Alaska Native Citizen Voting-Age Population 2020 ACS,"American Indian or Alaska Native Citizen Voting-Age Population 2020 ACS, Margin",Asian Citizen Voting-Age Population 2020 ACS,"Asian Citizen Voting-Age Population 2020 ACS, Margin",Bachelor's or Higher (25+) 2020 ACS,"Bachelor's or Higher (25+) 2020 ACS, Margin",Black Citizen Voting-Age Population 2020 ACS,"Black Citizen Voting-Age Population 2020 ACS, Margin",Citizen Voting-Age Population 2020 ACS,"Citizen Voting-Age Population 2020 ACS, Margin",Foreign-born Population 2020 ACS,"Foreign-born Population 2020 ACS, Margin",High School or GED (25+) 2020 ACS,"High School or GED (25+) 2020 ACS, Margin",Hispanic Citizen Voting-Age Population 2020 ACS,"Hispanic Citizen Voting-Age Population 2020 ACS, Margin",Household Income 2020 ACS,"Household Income 2020 ACS, Margin",Households 2020 ACS,"Households 2020 ACS, Margin",Naturalized Population 2020 ACS,"Naturalized Population 2020 ACS, Margin",Population 2020,Population 2020 ACS,"Population 2020 ACS, Margin",Population 25+ 2020 ACS,"Population 25+ 2020 ACS, Margin",Some College or AA (25+) 2020 ACS,"Some College or AA (25+) 2020 ACS, Margin",American Indian or Alaska Native Citizen Voting-Age Population 2023 ACS,"American Indian or Alaska Native Citizen Voting-Age Population 2023 ACS, Margin",Asian Citizen Voting-Age Population 2023 ACS,"Asian Citizen Voting-Age Population 2023 ACS, Margin",Black Citizen Voting-Age Population 2023 ACS,"Black Citizen Voting-Age Population 2023 ACS, Margin",Citizen Voting-Age Population 2023 ACS,"Citizen Voting-Age Population 2023 ACS, Margin",Hispanic Citizen Voting-Age Population 2023 ACS,"Hispanic Citizen Voting-Age Population 2023 ACS, Margin",Filename,Plan URL
DE,1,"SLDUST=""001""",18393.38,6578.39,0.0,19566.14,6641.79,415.73,16627.37,6782.46,1268.2,,,,19321.92,5943.59,721.67,15378.3,4819.6,594.63,,,,,,,,16320.78,9798.47,,,,,2409.48,1090.57,7409.5,4748.38,,,82999.4101,25958.7856,20214.58,5359.35,1288.68,742.51,44708,44296.03,13252.06,33176.49,8983.5,9766.11,8037.41,161.28,1091.03,636.14,1596.41,8226.63,5989.83,35898.56,10831.44,1587.41,1976.39,tl_2025_10_sldu.zip,https://dev.planscore.org/plan.html?20260308T223329.823481956Z
DE,2,"SLDUST=""002""",14451.62,3170.61,0.0,16748.89,2941.46,183.9,15682.14,2715.99,547.62,,,,15552.0,2591.61,515.72,12053.79,1728.24,322.98,,,,,,,,4784.19,5260.53,,,,,3012.74,1536.3,14119.07,7110.07,,,52715.2904,16993.8357,15893.21,4933.02,1359.03,944.44,45528,46420.85,16463.11,30560.32,10057.24,9668.29,8202.5,56.0,1035.23,488.15,1338.81,18587.42,9590.23,31764.59,11277.42,3285.1,2993.75,tl_2025_10_sldu.zip,https://dev.planscore.org/plan.html?20260308T223329.823481956Z
DE,3,"SLDUST=""003""",11796.79,2593.92,0.0,13625.9,2559.92,174.62,12824.29,2437.98,577.26,,,,12626.51,2173.3,499.83,9190.6,1425.64,361.98,,,,,,,,5728.92,5330.67,,,,,4103.61,1850.1,11977.01,6968.18,,,42797.1794,16075.4161,17396.74,5719.35,1252.04,930.9,44517,42454.23,14480.99,28424.83,9509.62,8159.93,7148.56,205.83,1198.59,384.37,1348.48,15931.65,9694.72,31925.16,11724.89,4059.13,3737.34,tl_2025_10_sldu.zip,https://dev.planscore.org/plan.html?20260308T223329.823481956Z
DE,4,"SLDUST=""004""",16020.0,10495.0,0.0,17430.93,10521.05,397.03,13880.93,10532.97,1324.75,,,,17949.93,9460.4,638.75,13863.06,7961.22,461.7,,,,,,,,20867.64,10350.79,,,,,4738.11,1523.05,4053.75,2848.38,,,148419.9195,41231.9149,16796.46,3891.84,2619.77,1028.92,44976,42903.37,10922.1,31108.77,6976.44,5885.15,4835.56,94.34,812.66,2838.59,2998.12,1802.16,2354.36,32324.04,9031.44,1523.86,1755.97,tl_2025_10_sldu.zip,https://dev.planscore.org/plan.html?20260308T223329.823481956Z
DE,5,"SLDUST=""005""",15802.0,8085.0,0.0,17048.66,8095.94,350.63,14211.94,8159.89,1272.46,,,,16987.19,7383.09,599.09,13343.01,5951.62,477.08,,,,,,,,14418.51,7665.04,,,,,4048.13,1758.12,7806.76,3984.12,,,97851.2153,23352.6944,17585.44,3951.52,2389.74,1034.22,44972,43721.51,10783.25,31709.4,7208.21,9233.84,6441.71,127.92,909.52,1403.46,1927.78,5315.6,4080.32,34162.16,8892.84,1029.18,1381.08,tl_2025_10_sldu.zip,https://dev.planscore.org/plan.html?20260308T223329.823481956Z
DE,6,"SLDUST=""006""",21414.0,15996.0,0.0,18220.04,14048.1,318.88,12358.25,12522.29,955.08,,,,18118.89,13349.8,658.83,13447.99,10524.4,420.93,,,,,,,,17761.95,11400.55,,,,,382.82,186.67,8586.78,5649.36,,,85508.8098,26694.3492,21695.98,6172.3,261.66,141.3,48422,46090.35,14284.19,38423.29,10928.36,10289.22,7853.18,160.85,1274.08,1024.3,2018.1,2155.03,3153.54,44889.57,12090.25,1101.49,1493.38,tl_2025_10_sldu.zip,https://dev.planscore.org/plan.html?20260308T223329.823481956Z
DE,7,"SLDUST=""007""",12456.68,8646.75,0.0,13976.79,8376.1,393.46,11621.12,8424.88,1189.7,,,,13923.71,7531.87,656.1,10352.74,5544.51,495.67,,,,,,,,8803.41,6374.73,,,,,5478.52,2213.2,11732.09,6254.23,,,69407.4433,23179.5258,17067.98,4327.05,2383.6,1370.34,45275,44486.43,12295.17,32186.92,8579.65,10331.77,7708.99,315.23,1199.71,1016.94,1843.47,3145.75,3404.4,34080.36,10417.62,4147.74,3557.32,tl_2025_10_sldu.zip,https://dev.planscore.org/plan.html?20260308T223329.823481956Z
DE,8,"SLDUST=""008""",12001.47,6743.21,0.0,13001.29,6886.44,413.92,10888.79,7182.32,1257.77,,,,12949.33,6373.54,583.86,10444.01,5395.84,529.92,,,,,,,,15107.14,8492.89,,,,,5462.4,1819.85,4680.84,3087.8,,,76989.3274,15991.9836,15620.15,3571.24,2245.87,1059.86,45574,48232.84,10917.73,27099.31,7217.88,7033.76,5084.31,272.18,723.96,1893.81,2005.46,3283.96,2809.39,36903.39,8641.61,2592.15,2272.09,tl_2025_10_sldu.zip,https://dev.planscore.org/plan.html?20260308T223329.823481956Z
DE,9,"SLDUST=""009""",11925.88,7257.53,0.0,13565.13,7291.83,384.59,11185.85,7165.44,1164.32,,,,13447.76,6543.72,664.55,9812.12,4802.14,440.01,,,,,,,,8931.73,6266.73,,,,,6456.75,2397.63,11650.54,6619.16,,,70934.0447,20944.2495,17601.07,4775.74,2413.22,1301.11,45283,45126.31,13891.7,31984.18,9212.84,9806.3,6989.13,154.0,992.14,1579.93,2391.52,6163.68,5544.62,32706.99,10582.48,3092.04,2987.1,tl_2025_10_sldu.zip,https://dev.planscore.org/plan.html?20260308T223329.823481956Z
DE,10,"SLDUST=""010""",16434.0,10837.0,0.0,16009.34,10080.41,393.92,11664.2,8998.78,1134.05,,,,15996.07,9327.39,636.11,11402.84,6344.76,354.91,,,,,,,,12542.12,8897.37,,,,,,,7942.56,5702.92,,,116532.3649,30778.7224,15499.52,4858.16,,,47223,43956.58,14926.21,30138.78,9511.81,9554.86,8035.64,91.14,689.94,1731.22,1834.29,7952.05,5968.36,32182.56,11126.95,1231.85,1632.97,tl_2025_10_sldu.zip,https://dev.planscore.org/plan.html?20260308T223329.823481956Z
