state,year,code,plan,eg_adj_avg,eg_avg_percentrank,bias_avg,bias_avg_percentrank,mmd_avg,mmd_avg_percentrank,wasted_dem_plan,wasted_rep_plan,votes_dem_plan,votes_twop_plan,seats_plan,seats_dem_plan,seats_r_plan
stateabrev,cycle,code:2020,plan:2020,avg eg_adj:2020,percentrank eg_adj:2020,avg bias:2020,percentrank bias:2020,avg mmd:2020,percentrank mmd:2020,sum wasted_dem:2020,sum wasted_rep:2020,sum votes_dem:2020,sum votes_twop:2020,sum seats:2020,sum seats_dem:2020,sum seats_r:2020
AL,1974,AL1974,AL1,0.089,0.837,0.022,0.291,0.001,0.054,304361,435298,1025162,1479318,210,206,4
AL,1978,AL1978,AL1,0.089,0.837,0.022,0.291,0.001,0.054,304361,435298,1025162,1479318,210,206,4
AL,1986,AL1986,AL2,0.150,0.990,0.093,0.852,0.031,0.596,456679,765838,1452447,2445033,210,176,34
AL,1990,AL1990,AL2,0.150,0.990,0.093,0.852,0.031,0.596,456679,765838,1452447,2445033,210,176,34
AL,1994,AL1994,AL3,0.084,0.813,0.055,0.601,0.022,0.438,552722,716941,1393612,2539326,210,143,67
AL,1998,AL1998,AL3,0.084,0.813,0.055,0.601,0.022,0.438,552722,716941,1393612,2539326,210,143,67
AL,2002,AL2002,AL4,-0.004,0.074,0.010,0.153,0.015,0.340,1058930,970945,2106015,4059749,315,169,146
AL,2006,AL2006,AL4,-0.004,0.074,0.010,0.153,0.015,0.340,1058930,970945,2106015,4059749,315,169,146
AL,2010,AL2010,AL4,-0.004,0.074,0.010,0.153,0.015,0.340,1058930,970945,2106015,4059749,315,169,146
AR,1992,AR1992,AR3,0.153,0.995,0.035,0.384,0.011,0.241,856701,1479779,2729228,4672959,499,410,89
AR,1994,AR1994,AR3,0.153,0.995,0.035,0.384,0.011,0.241,856701,1479779,2729228,4672959,499,410,89
AR,1996,AR1996,AR3,0.153,0.995,0.035,0.384,0.011,0.241,856701,1479779,2729228,4672959,499,410,89
