state,year,code,plan,eg_adj_avg,eg_avg_percentrank,bias_avg,bias_avg_percentrank,mmd_avg,mmd_avg_percentrank,wasted_dem_plan,wasted_rep_plan,votes_dem_plan,votes_twop_plan,seats_plan,seats_dem_plan,seats_r_plan
AL,1974,AL1974,AL1,0.059,0.577,0.014,0.192,0.008,0.221,268688,345493,882869,1228362,70,70,0
AL,1978,AL1978,AL1,0.059,0.577,0.014,0.192,0.008,0.221,268688,345493,882869,1228362,70,70,0
AL,1982,AL1982,AL2,0.161,0.977,0.134,0.962,0.028,0.667,432406,791628,1425907,2448068,70,58,12
AL,1986,AL1986,AL2,0.161,0.977,0.134,0.962,0.028,0.667,432406,791628,1425907,2448068,70,58,12
AL,1990,AL1990,AL2,0.161,0.977,0.134,0.962,0.028,0.667,432406,791628,1425907,2448068,70,58,12
AL,1994,AL1994,AL3,0.097,0.812,0.030,0.347,0.025,0.606,518210,715222,1328261,2466863,70,47,23
AL,1998,AL1998,AL3,0.097,0.812,0.030,0.347,0.025,0.606,518210,715222,1328261,2466863,70,47,23
AL,2002,AL2002,AL4,0.004,0.047,0.010,0.131,0.006,0.174,685806,641022,1321580,2653656,70,35,35
AL,2006,AL2006,AL4,0.004,0.047,0.010,0.131,0.006,0.174,685806,641022,1321580,2653656,70,35,35
AL,2010,AL2010,AL4,0.004,0.047,0.010,0.131,0.006,0.174,685806,641022,1321580,2653656,70,35,35
AR,1972,AR1972,AR1,0.011,0.117,0.116,0.930,0.029,0.681,591790,630247,1786125,2444073,136,133,3
AR,1974,AR1974,AR1,0.011,0.117,0.116,0.930,0.029,0.681,591790,630247,1786125,2444073,136,133,3
AR,1976,AR1976,AR1,0.011,0.117,0.116,0.930,0.029,0.681,591790,630247,1786125,2444073,136,133,3
AR,1978,AR1978,AR1,0.011,0.117,0.116,0.930,0.029,0.681,591790,630247,1786125,2444073,136,133,3
AR,1980,AR1980,AR1,0.011,0.117,0.116,0.930,0.029,0.681,591790,630247,1786125,2444073,136,133,3
AR,1982,AR1982,AR2,0.127,0.901,0.042,0.488,0.010,0.272,221240,411095,780548,1264671,70,62,8
AR,1984,AR1984,AR2,0.127,0.901,0.042,0.488,0.010,0.272,221240,411095,780548,1264671,70,62,8
AR,1988,AR1988,AR2,0.127,0.901,0.042,0.488,0.010,0.272,221240,411095,780548,1264671,70,62,8
AR,1990,AR1990,AR2.1,0.143,0.934,0.077,0.742,0.008,0.235,126759,221930,433257,697377,35,31,4
AR,1992,AR1992,AR3,0.220,1.000,-0.008,0.099,0.003,0.075,440314,1172890,1776366,3226409,140,115,25
AR,1994,AR1994,AR3,0.220,1.000,-0.008,0.099,0.003,0.075,440314,1172890,1776366,3226409,140,115,25
AR,1996,AR1996,AR3,0.220,1.000,-0.008,0.099,0.003,0.075,440314,1172890,1776366,3226409,140,115,25
AR,1998,AR1998,AR3,0.220,1.000,-0.008,0.099,0.003,0.075,440314,1172890,1776366,3226409,140,115,25
AR,2000,AR2000,AR3,0.220,1.000,-0.008,0.099,0.003,0.075,440314,1172890,1776366,3226409,140,115,25
AR,2002,AR2002,AR4,0.165,0.986,-0.015,0.211,-0.004,0.131,663013,1292959,2049552,3911944,140,101,39
AR,2004,AR2004,AR4,0.165,0.986,-0.015,0.211,-0.004,0.131,663013,1292959,2049552,3911944,140,101,39
