state,year,code,plan,eg_adj_avg,eg_avg_percentrank,bias_avg,bias_avg_percentrank,mmd_avg,mmd_avg_percentrank,wasted_dem_plan,wasted_rep_plan,votes_dem_plan,votes_twop_plan,seats_plan,seats_dem_plan,seats_r_plan
AL,1972,AL1972,AL1,-0.074,0.688,0.071,0.594,0.091,0.993,1277068,774933,2350939,4104001,35,20,15
AL,1974,AL1974,AL1,-0.074,0.688,0.071,0.594,0.091,0.993,1277068,774933,2350939,4104001,35,20,15
AL,1976,AL1976,AL1,-0.074,0.688,0.071,0.594,0.091,0.993,1277068,774933,2350939,4104001,35,20,15
AL,1978,AL1978,AL1,-0.074,0.688,0.071,0.594,0.091,0.993,1277068,774933,2350939,4104001,35,20,15
AL,1980,AL1980,AL1,-0.074,0.688,0.071,0.594,0.091,0.993,1277068,774933,2350939,4104001,35,20,15
AL,1982,AL1982,AL2,-0.033,0.377,0.131,0.870,0.068,0.812,1451168,1263014,3379744,5428365,35,25,10
AL,1984,AL1984,AL2,-0.033,0.377,0.131,0.870,0.068,0.812,1451168,1263014,3379744,5428365,35,25,10
AL,1986,AL1986,AL2,-0.033,0.377,0.131,0.870,0.068,0.812,1451168,1263014,3379744,5428365,35,25,10
AL,1988,AL1988,AL2,-0.033,0.377,0.131,0.870,0.068,0.812,1451168,1263014,3379744,5428365,35,25,10
AL,1990,AL1990,AL2,-0.033,0.377,0.131,0.870,0.068,0.812,1451168,1263014,3379744,5428365,35,25,10
AL,1992,AL1992,AL3,-0.050,0.507,-0.058,0.514,-0.002,0.051,1918372,1408262,3186482,6653267,35,14,21
AL,1994,AL1994,AL3,-0.050,0.507,-0.058,0.514,-0.002,0.051,1918372,1408262,3186482,6653267,35,14,21
AL,1996,AL1996,AL3,-0.050,0.507,-0.058,0.514,-0.002,0.051,1918372,1408262,3186482,6653267,35,14,21
AL,1998,AL1998,AL3,-0.050,0.507,-0.058,0.514,-0.002,0.051,1918372,1408262,3186482,6653267,35,14,21
AL,2000,AL2000,AL3,-0.050,0.507,-0.058,0.514,-0.002,0.051,1918372,1408262,3186482,6653267,35,14,21
AL,2002,AL2002,AL4,-0.061,0.609,-0.090,0.688,-0.037,0.529,2025584,1628368,3103583,7307903,35,10,25
AL,2004,AL2004,AL4,-0.061,0.609,-0.090,0.688,-0.037,0.529,2025584,1628368,3103583,7307903,35,10,25
AL,2006,AL2006,AL4,-0.061,0.609,-0.090,0.688,-0.037,0.529,2025584,1628368,3103583,7307903,35,10,25
AL,2008,AL2008,AL4,-0.061,0.609,-0.090,0.688,-0.037,0.529,2025584,1628368,3103583,7307903,35,10,25
AL,2010,AL2010,AL4,-0.061,0.609,-0.090,0.688,-0.037,0.529,2025584,1628368,3103583,7307903,35,10,25
AL,2012,AL2012,AL5,-0.124,0.877,-0.195,0.949,-0.034,0.493,2136536,1364618,2692455,7002307,28,4,24
AL,2014,AL2014,AL5,-0.124,0.877,-0.195,0.949,-0.034,0.493,2136536,1364618,2692455,7002307,28,4,24
AL,2016,AL2016,AL5,-0.124,0.877,-0.195,0.949,-0.034,0.493,2136536,1364618,2692455,7002307,28,4,24
AL,2018,AL2018,AL5,-0.124,0.877,-0.195,0.949,-0.034,0.493,2136536,1364618,2692455,7002307,28,4,24
AZ,2002,AZ2002,AZ4,-0.007,0.130,-0.086,0.667,-0.028,0.413,2275229,1712584,3649988,7975626,40,16,24
AZ,2004,AZ2004,AZ4,-0.007,0.130,-0.086,0.667,-0.028,0.413,2275229,1712584,3649988,7975626,40,16,24
AZ,2006,AZ2006,AZ4,-0.007,0.130,-0.086,0.667,-0.028,0.413,2275229,1712584,3649988,7975626,40,16,24
AZ,2008,AZ2008,AZ4,-0.007,0.130,-0.086,0.667,-0.028,0.413,2275229,1712584,3649988,7975626,40,16,24
AZ,2010,AZ2010,AZ4,-0.007,0.130,-0.086,0.667,-0.028,0.413,2275229,1712584,3649988,7975626,40,16,24
AZ,2012,AZ2012,AZ5,0.076,0.710,-0.013,0.145,0.005,0.080,2081395,2092463,3883599,8347716,36,18,18
AZ,2014,AZ2014,AZ5,0.076,0.710,-0.013,0.145,0.005,0.080,2081395,2092463,3883599,8347716,36,18,18
AZ,2016,AZ2016,AZ5,0.076,0.710,-0.013,0.145,0.005,0.080,2081395,2092463,3883599,8347716,36,18,18
AZ,2018,AZ2018,AZ5,0.076,0.710,-0.013,0.145,0.005,0.080,2081395,2092463,3883599,8347716,36,18,18
CA,1972,CA1972,CA1,-0.009,0.145,0.005,0.072,0.013,0.196,2216955,1775429,4166627,7984769,43,23,20
CA,1974,CA1974,CA1.1,0.048,0.493,0.042,0.391,0.029,0.435,7022666,6731307,14449472,27507944,172,104,68
CA,1976,CA1976,CA1.1,0.048,0.493,0.042,0.391,0.029,0.435,7022666,6731307,14449472,27507944,172,104,68
CA,1978,CA1978,CA1.1,0.048,0.493,0.042,0.391,0.029,0.435,7022666,6731307,14449472,27507944,172,104,68
CA,1980,CA1980,CA1.1,0.048,0.493,0.042,0.391,0.029,0.435,7022666,6731307,14449472,27507944,172,104,68
CA,1982,CA1982,CA2,0.107,0.833,0.074,0.609,0.036,0.522,1577285,2104051,3736817,7362673,45,28,17
CA,1984,CA1984,CA2.1,0.053,0.543,0.082,0.652,0.082,0.949,7965538,8053453,16666941,32037983,180,107,73
CA,1986,CA1986,CA2.1,0.053,0.543,0.082,0.652,0.082,0.949,7965538,8053453,16666941,32037983,180,107,73
CA,1988,CA1988,CA2.1,0.053,0.543,0.082,0.652,0.082,0.949,7965538,8053453,16666941,32037983,180,107,73
CA,1990,CA1990,CA2.1,0.053,0.543,0.082,0.652,0.082,0.949,7965538,8053453,16666941,32037983,180,107,73
CA,1992,CA1992,CA3,-0.006,0.116,-0.012,0.138,-0.015,0.210,12048407,10097249,23610731,44291313,260,145,115
CA,1994,CA1994,CA3,-0.006,0.116,-0.012,0.138,-0.015,0.210,12048407,10097249,23610731,44291313,260,145,115
CA,1996,CA1996,CA3,-0.006,0.116,-0.012,0.138,-0.015,0.210,12048407,10097249,23610731,44291313,260,145,115
CA,1998,CA1998,CA3,-0.006,0.116,-0.012,0.138,-0.015,0.210,12048407,10097249,23610731,44291313,260,145,115
CA,2000,CA2000,CA3,-0.006,0.116,-0.012,0.138,-0.015,0.210,12048407,10097249,23610731,44291313,260,145,115
CA,2002,CA2002,CA4,-0.001,0.022,0.101,0.732,0.068,0.804,13562801,10246158,27183864,47617918,265,168,97
CA,2004,CA2004,CA4,-0.001,0.022,0.101,0.732,0.068,0.804,13562801,10246158,27183864,47617918,265,168,97
CA,2006,CA2006,CA4,-0.001,0.022,0.101,0.732,0.068,0.804,13562801,10246158,27183864,47617918,265,168,97
CA,2008,CA2008,CA4,-0.001,0.022,0.101,0.732,0.068,0.804,13562801,10246158,27183864,47617918,265,168,97
CA,2010,CA2010,CA4,-0.001,0.022,0.101,0.732,0.068,0.804,13562801,10246158,27183864,47617918,265,168,97
CA,2012,CA2012,CA5,0.039,0.428,0.028,0.275,0.030,0.449,11014829,12079214,28526607,46188086,212,162,50
CA,2014,CA2014,CA5,0.039,0.428,0.028,0.275,0.030,0.449,11014829,12079214,28526607,46188086,212,162,50
CA,2016,CA2016,CA5,0.039,0.428,0.028,0.275,0.030,0.449,11014829,12079214,28526607,46188086,212,162,50
CA,2018,CA2018,CA5,0.039,0.428,0.028,0.275,0.030,0.449,11014829,12079214,28526607,46188086,212,162,50
CO,2002,CO2002,CO4,-0.025,0.290,-0.001,0.036,-0.004,0.065,2373481,1988648,4450373,8724257,35,17,18
CO,2004,CO2004,CO4,-0.025,0.290,-0.001,0.036,-0.004,0.065,2373481,1988648,4450373,8724257,35,17,18
CO,2006,CO2006,CO4,-0.025,0.290,-0.001,0.036,-0.004,0.065,2373481,1988648,4450373,8724257,35,17,18
