district,year,plan,winner,winner_plan
1,1972,AL1,R,R
2,1972,AL1,R,R
3,1972,AL1,D,D
4,1972,AL1,D,D
5,1972,AL1,D,D
6,1972,AL1,R,R
7,1972,AL1,D,D
1,1974,AL1,R,R
2,1974,AL1,R,R
3,1974,AL1,D,D
4,1974,AL1,D,D
5,1974,AL1,D,D
6,1974,AL1,R,R
7,1974,AL1,D,D
1,1976,AL1,R,R
2,1976,AL1,R,R
3,1976,AL1,D,D
4,1976,AL1,D,D
5,1976,AL1,D,D
6,1976,AL1,R,R
7,1976,AL1,D,D
1,1978,AL1,R,R
2,1978,AL1,R,R
3,1978,AL1,D,D
4,1978,AL1,D,D
5,1978,AL1,D,D
6,1978,AL1,R,R
7,1978,AL1,D,D
1,1980,AL1,R,R
2,1980,AL1,R,R
3,1980,AL1,D,D
4,1980,AL1,D,D
5,1980,AL1,D,D
6,1980,AL1,R,R
7,1980,AL1,D,D
1,1982,AL2,R,R
2,1982,AL2,R,R
3,1982,AL2,D,D
4,1982,AL2,D,D
5,1982,AL2,D,D
6,1982,AL2,D,D
7,1982,AL2,D,D
1,1984,AL2,R,R
2,1984,AL2,R,R
3,1984,AL2,D,D
4,1984,AL2,D,D
5,1984,AL2,D,D
6,1984,AL2,D,D
7,1984,AL2,D,D
1,1986,AL2,R,R
2,1986,AL2,R,R
3,1986,AL2,D,D
4,1986,AL2,D,D
5,1986,AL2,D,D
6,1986,AL2,D,D
7,1986,AL2,D,D
1,1988,AL2,R,R
2,1988,AL2,R,R
3,1988,AL2,D,D
4,1988,AL2,D,D
5,1988,AL2,D,D
6,1988,AL2,D,D
7,1988,AL2,D,D
1,1990,AL2,R,R
2,1990,AL2,R,R
3,1990,AL2,D,D
4,1990,AL2,D,D
5,1990,AL2,D,D
6,1990,AL2,D,D
7,1990,AL2,D,D
1,1992,AL3,R,R
2,1992,AL3,R,R
3,1992,AL3,D,X
4,1992,AL3,D,X
5,1992,AL3,D,D
6,1992,AL3,R,R
7,1992,AL3,D,D
1,1994,AL3,R,R
2,1994,AL3,R,R
3,1994,AL3,D,X
4,1994,AL3,D,X
5,1994,AL3,D,D
6,1994,AL3,R,R
7,1994,AL3,D,D
1,1996,AL3,R,R
2,1996,AL3,R,R
3,1996,AL3,R,X
4,1996,AL3,R,X
5,1996,AL3,D,D
6,1996,AL3,R,R
7,1996,AL3,D,D
1,1998,AL3,R,R
2,1998,AL3,R,R
3,1998,AL3,R,X
4,1998,AL3,R,X
5,1998,AL3,D,D
6,1998,AL3,R,R
7,1998,AL3,D,D
1,2000,AL3,R,R
2,2000,AL3,R,R
3,2000,AL3,R,X
4,2000,AL3,R,X
5,2000,AL3,D,D
6,2000,AL3,R,R
7,2000,AL3,D,D
1,2002,AL4,R,R
2,2002,AL4,R,X
3,2002,AL4,R,R
4,2002,AL4,R,R
5,2002,AL4,D,X
6,2002,AL4,R,R
7,2002,AL4,D,D
1,2004,AL4,R,R
2,2004,AL4,R,X
3,2004,AL4,R,R
4,2004,AL4,R,R
5,2004,AL4,D,X
6,2004,AL4,R,R
7,2004,AL4,D,D
1,2006,AL4,R,R
2,2006,AL4,R,X
3,2006,AL4,R,R
4,2006,AL4,R,R
5,2006,AL4,D,X
6,2006,AL4,R,R
7,2006,AL4,D,D
1,2008,AL4,R,R
2,2008,AL4,D,X
3,2008,AL4,R,R
4,2008,AL4,R,R
5,2008,AL4,D,X
6,2008,AL4,R,R
7,2008,AL4,D,D
1,2010,AL4,R,R
2,2010,AL4,R,X
3,2010,AL4,R,R
4,2010,AL4,R,R
5,2010,AL4,R,X
