number,stpost,state,fip,year,id,V Mean,V.sd,V.lo,V.up,V Median,S,eg,eg.sd,eg.lo,eg.up,abs_eg,avg_eg,lag_eg,mcg_eg,bias,mmd,unc,majwin,dwin,plan,plancode,planelections,n,wrongwin,popdeviation,firstelection,commission,court,unified,divided,unified_dem,unified_rep,non-unified,pop_black,pop_hisp,seats_black,seats_hisp,urbanization,control
1,AL,Alabama,1,1974,AL1974,0.756,1.2,73.2,78.0,0.754,1.000,-0.012,0.024,-0.061,0.035,0.012,0.013,,0.102,-0.052,-0.002,74,105,105,1,AL1,2,105,,,1,0,1,0,0,0,0,1,0.259,0.006,0.124,0.000,0.592,0
2,AL,Alabama,1,1978,AL1978,0.713,1.3,68.7,73.9,0.719,0.962,0.037,0.027,-0.016,0.088,0.037,0.013,-0.012,0.158,0.167,0.006,71,105,101,1,AL1,2,105,,,0,0,1,0,0,0,0,1,0.255,0.008,0.124,0.000,0.597,0
3,AL,Alabama,1,1982,AL1982,0.697,1.3,67.3,72.4,0.719,0.924,0.029,0.025,-0.025,0.078,0.029,0.029,0.037,0.064,0.148,0.022,71,105,97,1.1,AL1.1,1,105,,,1,0,0,1,0,1,0,0,0.253,0.008,0.143,0.000,0.594,1
4,AL,Alabama,1,1986,AL1986,0.621,0.8,60.6,64.0,0.669,0.848,0.105,0.017,0.067,0.136,0.105,0.074,0.029,0.119,0.214,0.047,59,105,89,2,AL2,2,105,,,1,0,0,1,0,1,0,0,0.252,0.007,0.181,0.000,0.581,1
5,AL,Alabama,1,1990,AL1990,0.643,1.0,62.4,66.2,0.690,0.829,0.042,0.019,0.005,0.080,0.042,0.074,0.105,0.069,0.176,0.046,57,105,87,2,AL2,2,105,,,0,0,0,1,0,1,0,0,0.252,0.006,0.181,0.000,0.568,1
6,AL,Alabama,1,1994,AL1994,0.560,1.1,54.0,58.1,0.597,0.705,0.085,0.021,0.043,0.124,0.085,0.042,0.042,0.103,0.157,0.037,56,105,74,3,AL3,2,105,,,1,0,1,0,0,0,0,1,0.255,0.010,0.257,0.000,0.562,0
7,AL,Alabama,1,1998,AL1998,0.579,0.9,56.1,59.6,0.607,0.657,-0.001,0.018,-0.035,0.034,0.001,0.042,0.085,0.052,0.052,0.028,50,105,69,3,AL3,2,105,,,0,0,1,0,0,0,0,1,0.258,0.015,0.257,0.000,0.557,0
8,AL,Alabama,1,2002,AL2002,0.544,1.2,51.9,56.6,0.607,0.610,0.022,0.024,-0.023,0.071,0.022,-0.016,-0.001,0.039,0.081,0.063,53,105,64,4,AL4,3,105,,,1,0,0,1,0,1,0,0,0.259,0.021,0.257,0.000,0.561,1
9,AL,Alabama,1,2006,AL2006,0.556,1.1,53.6,57.6,0.611,0.590,-0.021,0.021,-0.062,0.019,0.021,-0.016,0.022,0.014,0.052,0.056,61,105,62,4,AL4,3,105,,,0,0,0,1,0,1,0,0,0.260,0.030,0.248,0.000,0.576,1
10,AL,Alabama,1,2010,AL2010,0.480,1.6,44.9,51.0,0.441,0.410,-0.050,0.031,-0.110,0.011,0.050,-0.016,-0.021,-0.036,-0.052,-0.039,63,105,43,4,AL4,3,105,,,0,0,0,1,0,1,0,0,0.260,0.039,0.248,0.000,0.590,1
11,AK,Alaska,2,1992,AK1992,0.503,0.5,49.3,51.4,0.502,0.526,0.020,0.011,-0.001,0.040,0.020,-0.019,,-0.018,-0.026,-0.001,9,38,20,3,AK3,5,40,,,1,0,1,0,0,0,0,1,0.039,0.034,0.025,0.000,0.619,0
12,AK,Alaska,2,1994,AK1994,0.480,0.6,46.9,49.1,0.470,0.421,-0.039,0.011,-0.061,-0.017,0.039,-0.019,0.020,-0.019,-0.053,-0.010,11,38,16,3,AK3,5,40,,,0,0,1,0,0,0,0,1,0.038,0.036,0.025,0.000,0.628,0
13,AK,Alaska,2,1996,AK1996,0.435,0.4,42.8,44.5,0.451,0.375,0.004,0.009,-0.015,0.020,0.004,-0.019,-0.039,-0.008,0.000,0.016,6,40,15,3,AK3,5,40,,,0,0,1,0,0,0,0,1,0.036,0.037,0.000,0.000,0.638,0
14,AK,Alaska,2,1998,AK1998,0.457,1.0,43.9,47.8,0.444,0.375,-0.040,0.020,-0.081,-0.003,0.040,-0.019,0.004,-0.012,-0.025,-0.013,16,40,15,3,AK3,5,40,,,0,0,1,0,0,0,0,1,0.035,0.039,0.000,0.000,0.647,0
