numb,stpost,fips,year,code,eg_adj,eg_adj_avg,bias,mmd,wasted_dem,wasted_rep,votes_dem,votes_twop,votepct_dem,median_dem,seats,seats_dem,seatpct_dem,oseats,seats_contested,commission,court,divided,unified_dem,unified_rep,unified,non-unified,redist.year,plan,firstelection,planelections,dw-nom_med,dw-nom_med_lag,dw-nom_avg,pop_black,pop_hisp,seats_black,seats_hisp,urbanization,section 5,wrongwin
1,AL,1,1972,AL1972,-0.058,-0.052,0.056,0.134,272265,221877,558363,988286,0.565,0.699,7,4,0.571,0,6,0,0,0,1,0,1,0,1972,AL1,1,5,-0.009,,0.002,0.260,0.005,0.000,0.000,0.589,1,
2,AL,1,1974,AL1974,0.070,-0.052,0.062,0.049,137571,204525,342569,684191,0.501,0.550,7,4,0.571,0,3,0,0,0,1,0,1,0,1972,AL1,0,5,-0.014,-0.009,-0.014,0.259,0.006,0.000,0.000,0.592,1,
3,AL,1,1976,AL1976,-0.119,-0.052,0.037,0.105,343345,211017,660196,1108721,0.595,0.701,7,4,0.571,0,4,0,0,0,1,0,1,0,1972,AL1,0,5,-0.018,-0.014,-0.007,0.257,0.007,0.000,0.000,0.594,1,
4,AL,1,1978,AL1978,-0.080,-0.052,0.016,0.057,220803,159138,437794,759880,0.576,0.632,7,4,0.571,0,3,0,0,0,1,0,1,0,1972,AL1,0,5,-0.022,-0.018,0.010,0.255,0.008,0.000,0.000,0.597,1,
5,AL,1,1980,AL1980,-0.075,-0.052,0.048,0.118,345811,231363,661758,1154347,0.573,0.691,7,4,0.571,0,3,0,0,0,1,0,1,0,1972,AL1,0,5,0.022,-0.022,0.072,0.253,0.009,0.000,0.000,0.600,1,
6,AL,1,1982,AL1982,-0.033,0.018,0.024,0.096,281608,236008,645519,1035232,0.624,0.720,7,5,0.714,0,4,0,0,0,1,0,1,0,1982,AL2,1,5,-0.031,0.022,-0.003,0.253,0.008,0.000,0.000,0.601,1,
7,AL,1,1984,AL1984,0.103,0.018,0.132,0.043,277592,440834,798723,1436854,0.556,0.599,7,5,0.714,0,3,0,0,0,1,0,1,0,1982,AL2,0,5,-0.036,-0.031,0.037,0.253,0.008,0.000,0.000,0.602,1,
8,AL,1,1986,AL1986,-0.036,0.018,0.087,0.104,301071,277985,723938,1158112,0.625,0.729,7,5,0.714,0,6,0,0,0,1,0,1,0,1982,AL2,0,5,-0.065,-0.036,0.021,0.252,0.007,0.000,0.000,0.602,1,
9,AL,1,1988,AL1988,0.076,0.018,0.153,0.078,310005,394259,801563,1408528,0.569,0.647,7,5,0.714,0,4,0,0,0,1,0,1,0,1982,AL2,0,5,-0.087,-0.065,0.004,0.252,0.007,0.000,0.000,0.603,1,
10,AL,1,1990,AL1990,-0.022,0.018,0.132,0.078,293251,284272,713744,1155045,0.618,0.697,7,5,0.714,0,4,0,0,0,1,0,1,0,1982,AL2,0,5,-0.087,-0.087,0.007,0.252,0.006,0.000,0.000,0.604,1,
11,AL,1,1992,AL1992,-0.093,-0.052,0.071,0.036,477484,291892,895601,1538751,0.582,0.618,7,4,0.571,0,7,0,0,0,1,0,1,0,1992,AL3,1,5,-0.126,-0.087,0.034,0.253,0.008,0.143,0.000,0.594,1,
12,AL,1,1994,AL1994,0.149,-0.052,0.070,0.044,214008,369424,537993,1166864,0.461,0.505,7,4,0.571,0,6,0,0,0,1,0,1,0,1992,AL3,0,5,-0.121,-0.126,0.039,0.255,0.010,0.143,0.000,0.584,1,Y
13,AL,1,1996,AL1996,-0.124,-0.052,0.071,0.029,461067,259714,656047,1441560,0.455,0.484,7,2,0.286,0,7,0,0,0,1,0,1,0,1992,AL3,0,5,0.472,-0.121,0.245,0.256,0.013,0.143,0.000,0.574,1,
14,AL,1,1998,AL1998,-0.133,-0.052,-0.197,-0.041,421455,240025,607881,1322961,0.459,0.419,7,2,0.286,0,5,0,0,0,1,0,1,0,1992,AL3,0,5,0.479,0.472,0.251,0.258,0.015,0.143,0.000,0.564,1,
15,AL,1,2000,AL2000,-0.060,-0.052,-0.187,-0.071,441692,351853,671181,1587089,0.423,0.352,7,2,0.286,0,3,0,0,0,1,0,1,0,1992,AL3,0,5,0.475,0.479,0.258,0.259,0.017,0.143,0.000,0.554,1,
16,AL,1,2002,AL2002,-0.103,-0.066,-0.075,-0.060,393245,247542,569368,1281574,0.444,0.384,7,2,0.286,0,4,0,0,0,1,0,1,0,2002,AL4,1,5,0.471,0.475,0.316,0.259,0.021,0.143,0.000,0.561,1,
17,AL,1,2004,AL2004,-0.071,-0.066,-0.212,-0.060,512879,388770,772665,1803299,0.428,0.368,7,2,0.286,0,6,0,0,0,1,0,1,0,2002,AL4,0,5,0.468,0.471,0.316,0.259,0.026,0.143,0.000,0.568,1,
18,AL,1,2006,AL2006,-0.042,-0.066,-0.209,-0.096,327267,296686,516736,1247904,0.414,0.318,7,2,0.286,0,4,0,0,0,1,0,1,0,2002,AL4,0,5,0.466,0.468,0.316,0.260,0.030,0.143,0.000,0.576,1,
19,AL,1,2008,AL2008,0.034,-0.066,0.048,0.012,430006,531497,860055,1923006,0.447,0.459,7,3,0.429,0,4,0,0,0,1,0,1,0,2002,AL4,0,5,0.4645,0.466,0.292,0.260,0.035,0.143,0.000,0.583,1,
