District	Candidate Scenario	Democratic Votes	Democratic Votes SD	Republican Votes	US President 2016 - DEM	US President 2016 - REP	Black Population 2018	Black Population 2018, Margin	Citizen Voting-Age Population 2018	Citizen Voting-Age Population 2018, Margin	Democratic Wins	High School or GED 2018	High School or GED 2018, Margin	Hispanic Population 2018	Hispanic Population 2018, Margin	Household Income 2018	Household Income 2018, Margin	Population 2010	Population 2018	Population 2018, Margin	Republican Votes SD	Reock	Polsby-Popper
1	O	162696.68	17598.3	211040.77	154557.77	219179.68	37783.92	34509.03	598343.48	126905.36	0.083	149942.76	80433.4	45929.27	47210.29	-278280707292.0	-92811450327.0	733522.0	761156.23	174007.48	17598.3	0.3655	0.3342
2	O	116848.99	15970.23	221698.38	103488.6	235058.77	72028.58	51685.56	570040.52	122610.2	0.0	156834.24	78767.92	45270.47	41964.5	-323482080028.0	-107868302936.0	733563.0	745429.89	169814.97	15970.24	0.5363	0.2878
3	O	137819.42	16173.0	205468.09	128064.17	215223.34	115653.07	64411.69	559475.24	120072.99	0.015	158164.04	80038.63	64398.05	59319.55	-226264554347.0	-75440708926.0	733449.0	743481.89	173315.85	16173.0	0.3533	0.2898
4	O	160014.47	16263.08	185467.89	154377.31	191105.05	165911.65	80094.04	553315.32	110602.36	0.224	140741.69	71492.96	75175.57	61645.43	-213073960735.0	-71087025360.0	733523.0	770694.83	162994.7	16263.08	0.6005	0.3659
5	O	249305.92	18537.08	144103.05	256046.36	137362.61	220738.06	92813.08	575618.53	111252.03	0.997	118044.85	64321.72	74905.16	59579.65	-314990914444.0	-105049383928.0	733490.0	788223.37	158870.29	18537.09	0.5351	0.3526
6	O	250631.95	19256.14	158188.44	255980.98	152839.41	180334.59	80035.05	589960.18	98100.1	0.993	85707.14	50889.83	82098.54	60848.79	-124374747375.0	-41571560084.0	733602.0	850174.45	142935.51	19256.14	0.3348	0.2353
7	O	184885.33	16980.6	175914.74	182484.83	178315.23	247440.74	108641.14	562443.54	117560.33	0.612	145575.03	73087.08	93682.53	69914.59	-436371272845.0	-145517922311.0	733404.0	803865.96	174081.44	16980.6	0.4883	0.2817
8	O	143362.4	13385.25	141042.48	141004.23	143400.65	255285.8	96136.83	542165.52	105716.96	0.538	139044.42	66306.53	103830.59	68733.49	-483138772534.0	-161098095146.0	733520.0	767163.1	156669.19	13385.26	0.4204	0.2274
9	O	210811.85	16571.29	141081.59	214450.97	137442.47	275509.64	105452.61	573047.16	115777.54	0.986	116629.71	64378.16	87708.07	61982.92	-184470023053.0	-70537096892.0	733526.0	816144.63	167694.62	16571.29	0.442	0.4119
10	O	178906.56	17059.95	183567.57	175154.01	187320.12	175041.56	80609.12	561180.87	99244.0	0.443	115618.22	57958.78	102067.02	63705.91	-48406245716.0	-25558045481.0	733374.0	837656.08	148465.62	17059.95	0.4228	0.2094
11	O	127274.67	14883.49	188649.67	118383.45	197540.89	163224.63	81766.84	566452.7	118913.63	0.016	163688.21	78391.04	58341.43	49138.3	-462022794921.0	-154038169611.0	733446.0	757888.18	169980.52	14883.49	0.1846	0.1407
12	O	142144.21	15777.97	192884.03	134122.28	200905.96	148560.06	78149.0	601185.38	126584.18	0.052	137218.6	73079.68	62009.87	50873.08	-988204665744.0	-329446672590.0	733533.0	783677.27	172542.62	15777.97	0.2926	0.1444
13	O	173400.86	15912.57	164705.95	171179.65	166927.16	273578.25	113141.81	559905.11	125012.71	0.614	153036.19	79656.12	40519.59	40262.82	-706191855694.0	-235407665342.0	733488.0	730004.28	173306.55	15912.57	0.5736	0.4405
