District	Candidate Scenario	Democratic Votes	Democratic Votes SD	Republican Votes	US President 2016 - DEM	US President 2016 - REP	Black Population 2016	Black Population 2016, Error	Democratic Wins	Education Population 2016	Education Population 2016, Error	High School or GED 2016	High School or GED 2016, Error	Hispanic Population 2016	Hispanic Population 2016, Error	Household Income 2016	Household Income 2016, Error	Households 2016	Households 2016, Error	Population 2010	Population 2016	Population 2016, Error	Republican Votes SD	Voting-Age Population 2016	Voting-Age Population 2016, Error	Reock	Polsby-Popper
1	O	159074.55	17285.91	208019.24	150937.15	216156.64	37233.18	21273.79	0.076	549355.28	51596.16	150479.11	36185.43	44721.22	31533.37	46052.18	1416803.44	315326.5	27162.27	733483.0	753111.41	76292.38	17285.91	610345.89	67100.9	0.3655	0.3342
2	O	116389.6	15895.05	220566.48	103109.63	233846.45	71125.76	27099.9	0.0	511196.6	44655.27	155628.32	32500.53	45324.33	26565.39	48234.29	1302998.34	285591.69	22538.97	733579.0	742455.02	67309.63	15895.05	584587.01	61380.69	0.5363	0.2878
3	O	136040.06	16076.04	205171.81	126158.24	215053.63	116563.49	33521.01	0.011	516738.37	43940.4	157207.09	33825.03	64181.21	35729.0	47538.79	1394474.95	297404.1	22562.75	733449.0	742517.96	67769.32	16076.04	581336.12	62976.35	0.3533	0.2898
4	O	159270.74	16201.8	184908.72	153627.32	190552.14	161927.32	40974.88	0.22	517074.49	44337.81	141592.61	32965.28	73235.79	38935.83	51384.57	1359908.21	300371.35	21062.68	733523.0	763752.02	69040.83	16201.8	588249.63	64880.21	0.6005	0.3659
5	O	248929.87	18516.08	144035.17	255644.12	137320.92	217462.94	44569.86	0.997	522276.57	43281.38	117251.75	28604.18	72364.03	34843.07	57332.66	1457661.06	306713.89	21123.85	733492.0	777298.3	65851.04	18516.08	611758.07	64926.45	0.5351	0.3526
6	O	246505.8	18979.36	156446.86	251674.32	151278.34	177828.35	43647.99	0.993	556792.05	43830.15	85210.43	26101.93	80144.68	37644.54	79350.8	1783989.64	316332.21	18452.17	733588.0	834578.17	65641.14	18979.36	636700.76	67154.07	0.3348	0.2353
7	O	182958.88	16809.04	174195.96	180571.16	176583.68	241142.87	49245.07	0.61	523682.47	44978.19	143395.18	32378.26	91260.59	38736.41	57287.57	1081499.23	286503.7	20302.83	733411.0	787757.09	69345.26	16809.04	587941.25	61882.72	0.4883	0.2817
8	O	141287.91	13251.09	140265.24	138828.45	142724.7	253005.69	46326.84	0.51	486554.51	41177.53	138321.78	28798.96	102046.54	37243.04	45270.09	1055115.29	280805.41	19654.63	733521.0	763440.19	67699.78	13251.09	571381.64	57647.13	0.4204	0.2274
9	O	195038.22	15436.64	132779.12	198163.54	129653.8	270020.08	56462.57	0.983	535787.4	50244.6	116316.4	31704.26	83707.63	39153.12	60797.31	1988736.66	310288.45	20805.21	733501.0	803401.02	76985.66	15436.64	613988.74	71745.38	0.442	0.4119
10	O	171284.16	16509.0	179477.1	167291.72	183469.54	168566.78	42047.74	0.402	540318.76	40598.82	114293.29	28920.87	98799.3	37586.14	74384.9	1741942.22	293696.5	16973.39	733383.0	818103.35	61860.99	16509.0	605826.28	62361.22	0.4228	0.2094
11	O	122975.73	14402.54	182736.53	114335.65	191376.61	163595.91	40112.57	0.016	522947.45	45746.14	164088.31	33473.51	58750.42	32194.37	44243.7	1210723.28	291083.6	23076.4	733445.0	762073.8	70165.3	14402.54	588200.7	60497.5	0.1846	0.1407
12	O	137493.58	15336.16	188143.51	129565.85	196071.24	147934.31	40648.64	0.049	507926.41	47390.82	134586.03	32642.44	60518.01	31377.99	51084.86	1500981.63	300529.72	24584.35	733540.0	776838.18	73261.31	15336.16	611159.77	67753.92	0.2926	0.1444
13	O	164302.35	15106.57	156678.7	162131.78	158849.27	273963.88	49494.75	0.604	492581.33	43848.37	153165.54	33102.47	39644.54	25226.83	43650.08	1306692.31	289237.61	24310.44	733489.0	726071.91	64988.85	15106.57	570523.13	62164.62	0.5736	0.4405
