shape_id,county_name,precinct_id,sen_red,sen_blue,con_districts,con_contested,con_red_votes,con_blue_votes,sldu_districts,sldu_contested,sldu_red_votes,sldu_blue_votes,sldl_districts,sldl_contested,sldl_red_votes,sldl_blue_votes,population,white_pop,black_pop,asian_pop,hispanic_pop,other_pop,median_age,median_income,education_pop,school_pop,diploma_pop,college_pop,graduate_pop,area_km2,con_imputed,sldu_imputed,sldl_imputed
2368,ALAMANCE,01,1071,295,2,Yes,1109,313,24,No,1073,349,64,No,1106,320,5259,4918,148,0,85,108,42,44870,3679,727,1518,1278,156,129,No,Yes,Yes
2366,ALAMANCE,02,1246,313,6,Yes,1285,314,24,No,1245,364,64,No,1268,332,5274,4479,273,216,203,102,41,49485,3525,601,1318,1361,245,77,No,Yes,Yes
2361,ALAMANCE,035,920,434,6,Yes,955,431,24,No,911,476,64,No,912,437,7191,5448,819,96,624,204,27,41560,3624,684,1173,1591,176,27,No,Yes,Yes
2374,ALAMANCE,03C,943,455,6,Yes,979,447,24,No,957,467,63064,"No,Yes",963,438,3236,2835,184,46,127,44,46,67658,2237,133,557,1167,381,5,No,Yes,Yes
2723,ALAMANCE,03N,862,586,6,Yes,881,582,24,No,872,591,64,No,877,552,4764,4182,361,116,85,20,37,67101,2792,92,691,1508,501,5,No,Yes,Yes
2372,ALAMANCE,03N2,201,267,6,Yes,213,262,24,No,213,266,64,No,217,254,498,463,14,5,13,3,56,75701,390,16,78,197,99,1,No,Yes,Yes
2363,ALAMANCE,03S,1388,906,6,Yes,1453,894,24,No,1398,947,64,No,1409,888,6365,4499,475,761,517,113,39,52033,4459,551,1104,2306,497,21,No,Yes,Yes
2373,ALAMANCE,03W,738,396,6,Yes,754,412,24,No,753,400,64,No,758,377,2708,2430,129,33,86,29,48,68038,1895,127,408,945,415,6,No,Yes,Yes
2357,ALAMANCE,04,1287,396,6,Yes,1339,402,24,No,1286,442,64,No,1304,407,6221,5387,392,27,347,68,39,51946,4158,636,1405,1914,203,94,No,Yes,Yes
2356,ALAMANCE,05,853,251,6,Yes,895,246,24,No,849,294,64,No,868,277,4161,3263,458,13,323,105,45,43210,3048,599,1262,1055,132,88,No,Yes,Yes
10,ALAMANCE,063,354,549,4,Yes,350,563,24,No,347,571,63064,"No,Yes",350,552,3975,1368,1289,42,1215,62,35,33269,2469,724,966,723,56,6,No,Yes,Yes
15,ALAMANCE,064,1169,686,6,Yes,1208,692,24,No,1171,737,63,Yes,1211,650,6533,4183,473,55,1722,99,38,50348,4377,624,1564,1948,240,17,No,Yes,No
9,ALAMANCE,06E,423,432,6,Yes,468,416,24,No,418,460,63,Yes,447,430,2527,1453,499,46,454,75,38,36251,1651,283,579,659,130,6,No,Yes,No
7,ALAMANCE,06N,231,466,4,Yes,237,469,24,No,224,494,63,Yes,264,444,4123,1773,1203,22,880,245,36,25092,2652,747,1146,702,56,4,No,Yes,No
2364,ALAMANCE,06S,695,418,6,Yes,747,434,24,No,688,458,63,Yes,739,403,4353,3037,807,17,347,144,39,34966,3073,549,1117,1228,179,13,No,Yes,No
137,ALAMANCE,06W,181,182,6,Yes,193,181,24,No,175,197,63064,"No,Yes",176,189,1777,795,541,9,368,65,31,24479,1039,289,421,322,7,2,No,Yes,Yes
2365,ALAMANCE,07,1029,312,6,Yes,1043,320,24,No,1027,359,64,No,1043,332,3942,3371,301,40,194,37,42,44530,2778,452,1041,1116,170,54,No,Yes,Yes
2367,ALAMANCE,08N,689,413,6,Yes,723,424,24,No,690,449,64,No,710,424,3847,3374,245,11,157,61,41,47659,2749,393,1059,1135,162,87,No,Yes,Yes
2369,ALAMANCE,08S,440,195,6,Yes,455,201,24,No,440,215,64,No,454,202,2877,2521,180,0,129,47,41,51014,2090,260,837,854,140,83,No,Yes,Yes
89,ALAMANCE,09N,505,345,6,Yes,523,350,24,No,508,365,63,Yes,529,334,1784,1369,167,12,182,53,43,51710,1276,200,435,567,75,14,No,Yes,No
87,ALAMANCE,09S,1028,675,6,Yes,1058,703,24,No,1028,710,63,Yes,1055,675,6724,4901,940,41,687,156,43,53404,4898,857,1783,1903,355,75,No,Yes,No
2371,ALAMANCE,103,784,342,6,Yes,809,347,24,No,779,371,63,Yes,782,345,4760,3239,626,11,660,225,39,48517,3241,485,1119,1476,161,31,No,Yes,No
2355,ALAMANCE,10N,963,605,6,Yes,1004,615,24,No,966,642,63,Yes,987,601,3645,2714,480,4,402,45,40,49768,2627,330,842,1277,179,20,No,Yes,No
14,ALAMANCE,10S,1261,1354,6,Yes,1345,1334,24,No,1254,1397,63,Yes,1313,1328,9518,6310,2215,118,561,314,36,48942,6203,459,2127,3023,595,22,No,Yes,No
13,ALAMANCE,11,533,778,4,Yes,532,784,24,No,531,800,63,Yes,552,752,4944,2998,1419,59,293,174,45,46801,3529,545,1437,1280,268,113,No,Yes,No
8,ALAMANCE,1210,358,309,6,Yes,389,310,24,No,353,329,63,Yes,386,295,1294,658,445,59,120,12,37,33460,835,111,281,409,34,3,No,Yes,No
2360,ALAMANCE,124,491,391,6,Yes,505,397,24,No,497,407,63,Yes,503,390,1902,1462,198,29,161,52,48,45733,1419,129,315,772,203,3,No,Yes,No
12,ALAMANCE,125,595,325,6,Yes,646,311,24,No,593,349,63,Yes,606,320,2104,1436,401,36,160,71,42,44983,1505,195,454,745,111,3,No,Yes,No
2359,ALAMANCE,126,670,416,6,Yes,679,409,24,No,686,421,63,Yes,658,444,2156,1896,122,29,63,45,53,64416,1721,94,329,987,312,3,No,Yes,No
2358,ALAMANCE,127,318,1137,4,Yes,326,1110,24,No,306,1145,64,No,304,1115,8435,2365,3866,3,1799,401,35,30927,5357,1471,2161,1563,162,14,No,Yes,Yes
16,ALAMANCE,128,181,408,4,Yes,188,415,24,No,177,423,64,No,180,407,3356,1629,958,29,626,114,35,28207,2118,428,747,845,97,3,No,Yes,Yes
2362,ALAMANCE,129,535,253,6,Yes,563,245,24,No,522,275,63,Yes,555,237,5161,3116,1291,195,474,84,39,38220,3453,541,1234,1509,170,17,No,Yes,No
138,ALAMANCE,12E,180,271,4,Yes,174,272,24,No,174,284,64,No,176,277,3184,1214,1081,30,781,79,36,25374,2164,753,880,483,47,3,No,Yes,Yes
11,ALAMANCE,12N,129,1163,4,Yes,152,1111,24,No,126,1181,64,No,130,1150,4683,1315,2071,25,1121,151,36,30853,3009,796,1217,934,63,7,No,Yes,Yes
88,ALAMANCE,12S,94,258,4,Yes,95,253,24,No,90,268,64,No,92,258,3077,1311,976,13,666,111,31,23904,1823,531,731,548,14,2,No,Yes,Yes
139,ALAMANCE,12W,457,481,6,Yes,476,484,24,No,453,509,63,Yes,462,492,2397,1327,548,15,424,83,39,32911,1663,227,519,767,150,3,No,Yes,No
2354,ALAMANCE,13,578,682,406,Yes,504,683,24,No,570,724,63,Yes,623,652,6454,3274,1668,24,1371,117,37,32591,4050,764,1751,1409,126,37,No,Yes,No
65,ALEXANDER,B1,998,318,5,Yes,1072,314,42,No,999,360,73,No,1023,332,3276,3073,108,1,60,35,43,55829,2443,248,1012,1018,165,26,No,Yes,Yes
66,ALEXANDER,B2,1149,380,5,Yes,1230,387,42,No,1151,429,73,No,1180,396,4003,3747,137,3,73,44,43,55457,2984,311,1242,1231,199,33,No,Yes,Yes
67,ALEXANDER,E,759,329,5,Yes,833,339,42,No,757,385,73,No,793,369,4123,3744,262,9,70,38,47,37932,3036,634,1519,757,127,117,No,Yes,Yes
68,ALEXANDER,G1,248,63,5,Yes,247,82,42,No,250,77,73,No,262,70,1420,1398,17,0,2,3,42,37822,972,203,450,293,25,65,No,Yes,Yes
69,ALEXANDER,G2,251,153,5,Yes,279,162,42,No,249,172,73,No,260,162,986,971,12,0,1,2,42,37777,673,141,312,204,17,45,No,Yes,Yes
70,ALEXANDER,L,399,108,5,Yes,429,117,42,No,399,133,73,No,414,122,1521,1486,8,0,26,0,45,38898,1110,228,540,291,50,67,No,Yes,Yes
71,ALEXANDER,M,474,193,5,Yes,533,190,42,No,477,233,73,No,506,224,3870,3210,190,0,407,63,41,33909,2551,527,1288,683,52,60,No,Yes,Yes
72,ALEXANDER,S1,593,216,5,Yes,642,269,42,No,593,257,73,No,620,240,2740,2361,114,0,229,37,41,34701,1820,377,903,501,39,60,No,Yes,Yes
73,ALEXANDER,S2,243,135,5,Yes,259,143,42,No,240,154,73,No,249,145,845,701,42,0,89,14,41,33917,557,115,281,149,11,13,No,Yes,Yes
74,ALEXANDER,SL,335,91,5,Yes,350,93,42,No,334,112,73,No,345,102,1208,1183,9,0,15,1,44,38630,865,179,415,237,35,54,No,Yes,Yes
75,ALEXANDER,T1,419,109,5,Yes,452,129,42,No,420,131,73,No,439,122,3030,2416,248,137,128,100,38,44697,2077,483,990,536,68,33,No,Yes,Yes
100,ALEXANDER,T2,399,261,5,Yes,451,244,42,No,394,294,73,No,409,283,2111,1762,196,13,113,26,43,36769,1496,328,718,400,50,25,No,Yes,Yes
101,ALEXANDER,T3,347,184,5,Yes,409,174,42,No,343,211,73,No,355,203,1672,1367,162,10,109,24,43,36204,1173,257,567,312,36,14,No,Yes,Yes
102,ALEXANDER,T4,425,270,5,Yes,481,249,42,No,419,305,73,No,434,294,2173,1772,227,16,129,30,43,36546,1539,340,739,409,50,16,No,Yes,Yes
103,ALEXANDER,T5,298,96,5,Yes,321,103,42,No,297,113,73,No,307,106,1510,1210,131,55,70,43,39,42858,1043,240,498,271,34,15,No,Yes,Yes
104,ALEXANDER,W,588,182,5,Yes,634,204,42,No,586,214,73,No,605,198,2620,2083,206,133,105,93,37,45819,1788,419,851,459,59,29,No,Yes,Yes
45,ALLEGHANY,01,416,173,5,Yes,459,175,45,Yes,422,172,94,No,432,187,1823,1658,8,0,152,6,47,42379,1351,289,597,380,86,105,No,No,Yes
48,ALLEGHANY,02,103,36,5,Yes,115,40,45,Yes,109,40,94,No,108,39,593,572,1,0,18,2,54,40483,473,70,181,199,23,62,No,No,Yes
2416,ALLEGHANY,03,844,625,5,Yes,978,644,45,Yes,819,656,94,No,871,669,4322,3445,195,20,577,85,44,30787,3016,626,1222,1002,166,126,No,No,Yes
47,ALLEGHANY,04,509,172,5,Yes,514,231,45,Yes,473,198,94,No,531,182,1781,1620,8,0,147,6,47,42198,1320,285,581,370,83,102,No,No,Yes
2417,ALLEGHANY,05,174,126,5,Yes,191,127,45,Yes,170,120,94,No,180,132,712,687,2,0,21,2,54,40495,569,84,217,239,28,74,No,No,Yes
91,ALLEGHANY,06,221,127,5,Yes,250,129,45,Yes,229,116,94,No,228,134,757,730,2,0,23,2,54,40503,604,90,231,254,30,79,No,No,Yes
50,ALLEGHANY,07,229,97,5,Yes,260,94,45,Yes,230,96,94,No,235,106,961,845,23,2,80,11,49,35636,716,129,283,267,37,62,No,No,Yes
84,ANSON,ANS,174,296,8,Yes,224,262,25,Yes,183,307,55,Yes,171,314,1778,878,842,27,7,24,43,31837,1299,204,700,366,30,172,No,No,No
83,ANSON,BURN,340,191,8,Yes,385,158,25,Yes,336,202,55,Yes,332,210,3191,1841,1127,86,73,64,38,43106,2288,397,1195,644,52,127,No,No,No
85,ANSON,GULL,139,303,8,Yes,171,280,25,Yes,140,312,55,Yes,144,304,1546,476,947,0,123,0,39,28554,994,321,418,241,14,134,No,No,No
78,ANSON,LILE,331,719,8,Yes,393,674,25,Yes,309,755,55,Yes,330,740,3112,1743,1291,1,16,61,46,35199,2325,430,1281,566,49,286,No,No,No
82,ANSON,MM,92,448,8,Yes,116,426,25,Yes,84,456,55,Yes,93,442,1294,398,792,0,103,0,39,28559,831,268,350,202,12,112,No,No,No
76,ANSON,PEAC,313,190,8,Yes,368,145,25,Yes,301,205,55,Yes,305,210,2296,1322,813,62,52,46,38,43076,1647,286,860,463,38,91,No,No,No
86,ANSON,POLK,159,185,8,Yes,190,162,25,Yes,149,194,55,Yes,148,205,1595,918,565,43,36,32,38,43069,1144,199,598,321,26,64,No,No,No
